govid|english_name|address

3578|Malang Employment Service Centre|Shop 105, Causeway Bay Centre, 15-23 Sugar Street, Causeway Bay, Hong Kong
5b0e2544bb403f0476666e34|ANTARAN REMITTANCE LIMITED|SHOP 105, CAUSEWAY BAY CENTRE, 15-23 SUGAR STREET, CAUSEWAY BAY, HONG KONG

3125|HELPERPLACE|The Hive Sai Kung, 5 Tai Mong Tsai Road, Sai Kung, New Territories
5b0e25b3bb403f04766672e7|MOSO TECHNOLOGIES LIMITED|THE HIVE SAI KUNG, 5 TAI MONG TSAI ROAD, SAI KUNG, NEW TERRITORIES

