govid|english_name|telephone

2624|Maid Best Limited|23709882
2292|FIRST CAPITAL RESOURCES GROUP LIMITED|23709882

7|Baguio Investment Company Limited|27230290
61|B & A Co|27230290

141|H L&C; Employment Agency Limited|28810004
139|H L&C; Employment Agency Limited|28810004
325|Talent Source Limited|28810004

3519|CORDIAL EMPLOYMENT AGENCY CO|23328850
1691|WANG FULLCO EMPLOYMENT AGENCY LIMITED|23328850

1397|FURTHER CREATION EMPLOYMENT CENTRE|25228071
1398|FURTHER CREATION EMPLOYMENT CENTRE|25228071
3242|Kex Industrial Company|25228071

1608|Radiant Maid Agency Service Limited|27800037
3237|Radiant Maid Agency Service Limited|27800037

1687|MY SWEET HOME EMPLOYMENT AGENCY|28111515
3516|EMSON EMPLOYMENT AGENCY|28111515

1690|MY SWEET HOME EMPLOYMENT AGENCY|21807023
3618|EAST STAR RECRUITMENT|21807023

3575|DAVID CHEUNG EMPLOYMENT AGENCY LIMITED|24028320
248|DAVID CHEUNG EMPLOYMENT AGENCY LIMITED|24028320

3584|HKBS|25298288
3585|e-Job|25298288

3585|e-Job|25298288
3584|HKBS|25298288

2461|Star Helper Limited|51114393
3843|THE ONE HELPER AGENCY|51114393

2587|FamilyMaid Employment Services Limited|35868811
2588|FamilyMaid Employment Services Limited|35868811

3412|SCENEWAY EMPLOYMENT PARADISE CO.|27726708
3206|CITY EMPLOYMENT PARADISE CO.|27726708

143|Pilipino Overseas Workers Club Limited|28811082
1745|Kakao Limited|28811082

248|DAVID CHEUNG EMPLOYMENT AGENCY LIMITED|24028320
3575|DAVID CHEUNG EMPLOYMENT AGENCY LIMITED|24028320

3458|SINCERE COMPANY|21159923
3457|SINCERE COMPANY|21159923

3489|Ensemble Human Resources Co. Limited|35909993
2205|Ensemble Human Resources Co. Limited|35909993

1889|NAULI EMPLOYMENT AGENCY COMPANY LIMITED|28973003
1612|LI WING EMPLOYMENT CENTRE|28973003

1895|KAMPO EMPLOYMENT AGENCY|28864628
3071|FESDI EMPLOYMENT CENTRE|28864628

1898|VOILA MIGRANT WORKER AGENCY|26600682
807|RAHARJA HK|26600682

1134|Many Maids Employment Agency|21174681
1135|Many Maids Employment Agency|21174681

1282|Sunny Day Employment Agency|27044880
868|Chin House Employment Agency Limited|27044880

1371|Stone Employment Agency|21178119
608|Great Possession Employment Agency|21178119

1400|FURTHER CREATION EMPLOYMENT CENTRE|23886182
53|Finest International Limited|23886182

1590|Ngai Kan Employment Agency|91463388
2184|CHAMPION EMPLOYMENT|91463388

1612|LI WING EMPLOYMENT CENTRE|28973003
1889|NAULI EMPLOYMENT AGENCY COMPANY LIMITED|28973003

1673|MRS. HUI EMPLOYMENT AGENCY|91234939
460|Pessen Technology Limited|91234939

1691|WANG FULLCO EMPLOYMENT AGENCY LIMITED|23328850
3519|CORDIAL EMPLOYMENT AGENCY CO|23328850

1742|Sa Sa Employment Agency|28187898
707|Kasa Maid Agency Limited|28187898

3569|CHAK HANG COMPANY LIMITED|24760868
3269|M. Wise Company|24760868

3618|EAST STAR RECRUITMENT|21807023
1690|MY SWEET HOME EMPLOYMENT AGENCY|21807023

2124|FAI SING (HONG KONG) LIMITED|27084038
2419|Fong Wah Trading Co|27084038

2184|CHAMPION EMPLOYMENT|91463388
1590|Ngai Kan Employment Agency|91463388

2250|HOME CARE EMPLOYMENT AGENCY LIMITED|91925079
2249|HOME CARE EMPLOYMENT AGENCY LIMITED|91925079

2357|FUN TOP EMPLOYMENT SERVICE COMPANY|27720086
622|Anlida|27720086

2414|DATA MANPOWER CENTRE|25770838
3850|Sunlight Employment Agency|25770838

2419|Fong Wah Trading Co|27084038
2124|FAI SING (HONG KONG) LIMITED|27084038

2960|Gracefield Employment Service Limited|28776699
3415|HELPER EASY LIMITED|28776699

3066|FESDI EMPLOYMENT CENTRE|28992101
3072|FESDI EMPLOYMENT CENTRE|28992101
3074|FESDI EMPLOYMENT CENTRE|28992101

3072|FESDI EMPLOYMENT CENTRE|28992101
3066|FESDI EMPLOYMENT CENTRE|28992101
3074|FESDI EMPLOYMENT CENTRE|28992101

3074|FESDI EMPLOYMENT CENTRE|28992101
3066|FESDI EMPLOYMENT CENTRE|28992101
3072|FESDI EMPLOYMENT CENTRE|28992101

3206|CITY EMPLOYMENT PARADISE CO.|27726708
3412|SCENEWAY EMPLOYMENT PARADISE CO.|27726708

3237|Radiant Maid Agency Service Limited|27800037
1608|Radiant Maid Agency Service Limited|27800037

3400|ABILITY AND COMPANY|25416771
3824|HelpersPro (Hong Kong) Services Limited|25416771

53|Finest International Limited|23886182
1400|FURTHER CREATION EMPLOYMENT CENTRE|23886182

61|B & A Co|27230290
7|Baguio Investment Company Limited|27230290

238|Luckyfull International Limited|26513978
786|Perfect World Employment Services Co|26513978

346|K&P; Employment Agency|27140849
3724|K&P; Employment Agency|27140849

353|Maid Home Employment Agency|23339015
850|ANSTAR LIMITED|23339015

366|Romy Employment Services|26533603
265|Mrs. MA's Employment Services|26533603
266|Mrs. MA's Employment Services|26533603

401|Good Hands Employment Agency|25290992
402|Good Hands Employment Agency|25290992

402|Good Hands Employment Agency|25290992
401|Good Hands Employment Agency|25290992

438|Pak On (Hong Kong) Company Limited|29740000
955|Royalcorp Employment Agency Limited|29740000

460|Pessen Technology Limited|91234939
1673|MRS. HUI EMPLOYMENT AGENCY|91234939

513|The Searchers Human Resources Co.|23400648
419|Blue Sky Co.|23400648

608|Great Possession Employment Agency|21178119
1371|Stone Employment Agency|21178119

619|SVC DEVELOPMENT CO.|24311331
57|Ivy's Agency (H.K.)|24311331

622|Anlida|27720086
2357|FUN TOP EMPLOYMENT SERVICE COMPANY|27720086

634|O & S Employment Agency|28560866
635|O & S Employment Agency|28560866

666|Pawer Express International Company Limited|25783311
407|C. & K. ENTERPRISES COMPANY LIMITED|25783311

682|Hung Chau Company Limited|31023311
683|Hung Chau Company Limited|31023311

702|BTI Courier Express|27812933
810|Pacific Garden Employment Agency|27812933

707|Kasa Maid Agency Limited|28187898
1742|Sa Sa Employment Agency|28187898

761|Arrow Employment Services|21511125
762|Arrow Employment Services|21511125

786|Perfect World Employment Services Co|26513978
238|Luckyfull International Limited|26513978

810|Pacific Garden Employment Agency|27812933
702|BTI Courier Express|27812933

868|Chin House Employment Agency Limited|27044880
1282|Sunny Day Employment Agency|27044880

870|Cable Employment Service Limited|22334322
3869|EMPIRE HILL EMPLOYMENT LIMITED|22334322

889|SKY EMPLOYMENT SERVICE COMPANY LIMITED|23669812
1110|PROTECTIVE EMPLOYMENT SERVICE COMPANY|23669812

894|STAR CARE EMPLOYMENT AGENCY|26138080
895|STAR CARE EMPLOYMENT AGENCY|26138080
896|STAR CARE EMPLOYMENT AGENCY|26138080

895|STAR CARE EMPLOYMENT AGENCY|26138080
894|STAR CARE EMPLOYMENT AGENCY|26138080
896|STAR CARE EMPLOYMENT AGENCY|26138080

955|Royalcorp Employment Agency Limited|29740000
438|Pak On (Hong Kong) Company Limited|29740000

1110|PROTECTIVE EMPLOYMENT SERVICE COMPANY|23669812
889|SKY EMPLOYMENT SERVICE COMPANY LIMITED|23669812

3787|Excel Famous Domestic Helper Consultant Limited|23709999
1947|Excel Famous Domestic Helper Consultant Limited|23709999

3824|HelpersPro (Hong Kong) Services Limited|25416771
3400|ABILITY AND COMPANY|25416771

3843|THE ONE HELPER AGENCY|51114393
2461|Star Helper Limited|51114393

3850|Sunlight Employment Agency|25770838
2414|DATA MANPOWER CENTRE|25770838

3877|Gary's Employment Agency Company Limited|39550999
1863|JET SYSTEM PACIFIC LIMITED|39550999
2214|U.A. EMPLOYMENT CENTER|39550999

3724|K&P; Employment Agency|27140849
346|K&P; Employment Agency|27140849

3457|SINCERE COMPANY|21159923
3458|SINCERE COMPANY|21159923

3516|EMSON EMPLOYMENT AGENCY|28111515
1687|MY SWEET HOME EMPLOYMENT AGENCY|28111515

2031|Maid For You Limited|28859558
2841|FairMaid Limited|28859558

1135|Many Maids Employment Agency|21174681
1134|Many Maids Employment Agency|21174681

1566|J & P Employment Agency|27619686
522|Tai Ping Employment Agency|27619686

1745|Kakao Limited|28811082
143|Pilipino Overseas Workers Club Limited|28811082

2841|FairMaid Limited|28859558
2031|Maid For You Limited|28859558

3065|Anlida|28816655
621|Anlida|28816655

3071|FESDI EMPLOYMENT CENTRE|28864628
1895|KAMPO EMPLOYMENT AGENCY|28864628

3242|Kex Industrial Company|25228071
1397|FURTHER CREATION EMPLOYMENT CENTRE|25228071
1398|FURTHER CREATION EMPLOYMENT CENTRE|25228071

3269|M. Wise Company|24760868
3569|CHAK HANG COMPANY LIMITED|24760868

57|Ivy's Agency (H.K.)|24311331
619|SVC DEVELOPMENT CO.|24311331

265|Mrs. MA's Employment Services|26533603
266|Mrs. MA's Employment Services|26533603
366|Romy Employment Services|26533603

407|C. & K. ENTERPRISES COMPANY LIMITED|25783311
666|Pawer Express International Company Limited|25783311

419|Blue Sky Co.|23400648
513|The Searchers Human Resources Co.|23400648

522|Tai Ping Employment Agency|27619686
1566|J & P Employment Agency|27619686

807|RAHARJA HK|26600682
1898|VOILA MIGRANT WORKER AGENCY|26600682

3869|EMPIRE HILL EMPLOYMENT LIMITED|22334322
870|Cable Employment Service Limited|22334322

3415|HELPER EASY LIMITED|28776699
2960|Gracefield Employment Service Limited|28776699

621|Anlida|28816655
3065|Anlida|28816655

1947|Excel Famous Domestic Helper Consultant Limited|23709999
3787|Excel Famous Domestic Helper Consultant Limited|23709999

1214|YOURMAID SERVICES CENTRE LIMITED|23888811
1265|Enjoy Services Centre Limited|23888811

1265|Enjoy Services Centre Limited|23888811
1214|YOURMAID SERVICES CENTRE LIMITED|23888811

820|A & E Employment Centre|62993599
821|A & E Employment Centre|62993599
822|A & E Employment Centre|62993599
823|A & E Employment Centre|62993599

2627|A&F; EMPLOYMENT CENTRE|96821622
2629|A&F; EMPLOYMENT CENTRE|96821622
2630|A&F; EMPLOYMENT CENTRE|96821622

266|Mrs. MA's Employment Services|26533603
265|Mrs. MA's Employment Services|26533603
366|Romy Employment Services|26533603

850|ANSTAR LIMITED|23339015
353|Maid Home Employment Agency|23339015

2630|A&F; EMPLOYMENT CENTRE|96821622
2627|A&F; EMPLOYMENT CENTRE|96821622
2629|A&F; EMPLOYMENT CENTRE|96821622

1621|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|25257512
1140|MASS TRINITY INTERNATIONAL LIMITED|25257512
14|Top Services and Company|25257512

3552|EMERALD CONSULTANCY & TRADING COMPANY|24201268
1264|D'SUN EMPLOYMENT SERVICES|24201268

1920|TOP RESOURCES CONSULTANCY COMPANY|21519383
359|Caring Employment Centre|21519383

2588|FamilyMaid Employment Services Limited|35868811
2587|FamilyMaid Employment Services Limited|35868811

3349|SMOOTH MAID EMPLOYMENT AGENCY LIMITED|26688498
574|Jumbo International Maid Employment Agency|26688498

574|Jumbo International Maid Employment Agency|26688498
3349|SMOOTH MAID EMPLOYMENT AGENCY LIMITED|26688498

2629|A&F; EMPLOYMENT CENTRE|96821622
2627|A&F; EMPLOYMENT CENTRE|96821622
2630|A&F; EMPLOYMENT CENTRE|96821622

139|H L&C; Employment Agency Limited|28810004
141|H L&C; Employment Agency Limited|28810004
325|Talent Source Limited|28810004

3624|Hong Kong Cambodian Labour and Vocational Training Centre|31517979
3623|Hong Kong Cambodian Human Resource Association|31517979

1890|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|23634444
1891|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|23634444

1891|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|23634444
1890|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|23634444

1140|MASS TRINITY INTERNATIONAL LIMITED|25257512
14|Top Services and Company|25257512
1621|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|25257512

3623|Hong Kong Cambodian Human Resource Association|31517979
3624|Hong Kong Cambodian Labour and Vocational Training Centre|31517979

3403|Ansin Employment Services|28854168
3791|Perfect Helpers Limited|28854168

3791|Perfect Helpers Limited|28854168
3403|Ansin Employment Services|28854168

1941|Mamie Employment Centre Limited|21111105
1030|BLISS EMPLOYMENT SERVICES LIMITED|21111105

1393|Well-Serviced Employment Agency|26821152
1668|PLEASANT HOUSE EMPLOYMENT CENTRE LIMITED|26821152

1668|PLEASANT HOUSE EMPLOYMENT CENTRE LIMITED|26821152
1393|Well-Serviced Employment Agency|26821152

1737|HAPPY HOUSE EMPLOYMENT AGENCY|27893218
2001|FAVOR MAID EMPLOYMENT AGENCY|27893218
2836|GOLDEN PEAK EMPLOYMENT AGENCY|27893218

2214|U.A. EMPLOYMENT CENTER|39550999
1863|JET SYSTEM PACIFIC LIMITED|39550999
3877|Gary's Employment Agency Company Limited|39550999

2836|GOLDEN PEAK EMPLOYMENT AGENCY|27893218
1737|HAPPY HOUSE EMPLOYMENT AGENCY|27893218
2001|FAVOR MAID EMPLOYMENT AGENCY|27893218

3204|CITY EMPLOYMENT PARADISE CO.|24680380
3209|TSUEN WAN EMPLOYMENT PARADISE CO.|24680380

3209|TSUEN WAN EMPLOYMENT PARADISE CO.|24680380
3204|CITY EMPLOYMENT PARADISE CO.|24680380

14|Top Services and Company|25257512
1140|MASS TRINITY INTERNATIONAL LIMITED|25257512
1621|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|25257512

70|Great Top Employment Service Centre|25108399
208|Mabros Employment Agency|25108399

325|Talent Source Limited|28810004
139|H L&C; Employment Agency Limited|28810004
141|H L&C; Employment Agency Limited|28810004

359|Caring Employment Centre|21519383
1920|TOP RESOURCES CONSULTANCY COMPANY|21519383

424|Home De Fairy Consultants Limited|25263331
197|KA WO CONSULTANTS LIMITED|25263331
86|D.D. Domestic Services|25263331

635|O & S Employment Agency|28560866
634|O & S Employment Agency|28560866

1030|BLISS EMPLOYMENT SERVICES LIMITED|21111105
1941|Mamie Employment Centre Limited|21111105

2001|FAVOR MAID EMPLOYMENT AGENCY|27893218
1737|HAPPY HOUSE EMPLOYMENT AGENCY|27893218
2836|GOLDEN PEAK EMPLOYMENT AGENCY|27893218

1863|JET SYSTEM PACIFIC LIMITED|39550999
2214|U.A. EMPLOYMENT CENTER|39550999
3877|Gary's Employment Agency Company Limited|39550999

1264|D'SUN EMPLOYMENT SERVICES|24201268
3552|EMERALD CONSULTANCY & TRADING COMPANY|24201268

1558|CB Consultants|23886263
1655|Cambridge Consultants|23886263
1656|Chris Benne|23886263
2144|TEH WONG MANPOWER|23886263

1655|Cambridge Consultants|23886263
1558|CB Consultants|23886263
1656|Chris Benne|23886263
2144|TEH WONG MANPOWER|23886263

1656|Chris Benne|23886263
1558|CB Consultants|23886263
1655|Cambridge Consultants|23886263
2144|TEH WONG MANPOWER|23886263

3884|WESTLAKE MANPOWER RESOURCES CO.|60389698
3479|Pure Employment Center|60389698

2144|TEH WONG MANPOWER|23886263
1558|CB Consultants|23886263
1655|Cambridge Consultants|23886263
1656|Chris Benne|23886263

2249|HOME CARE EMPLOYMENT AGENCY LIMITED|91925079
2250|HOME CARE EMPLOYMENT AGENCY LIMITED|91925079

2292|FIRST CAPITAL RESOURCES GROUP LIMITED|23709882
2624|Maid Best Limited|23709882

86|D.D. Domestic Services|25263331
197|KA WO CONSULTANTS LIMITED|25263331
424|Home De Fairy Consultants Limited|25263331

197|KA WO CONSULTANTS LIMITED|25263331
424|Home De Fairy Consultants Limited|25263331
86|D.D. Domestic Services|25263331

208|Mabros Employment Agency|25108399
70|Great Top Employment Service Centre|25108399

221|SACRED HEART INTERNATIONAL CONSULTANTS|28348886
298|Way Tech Consultants Company|28348886

298|Way Tech Consultants Company|28348886
221|SACRED HEART INTERNATIONAL CONSULTANTS|28348886

683|Hung Chau Company Limited|31023311
682|Hung Chau Company Limited|31023311

1398|FURTHER CREATION EMPLOYMENT CENTRE|25228071
1397|FURTHER CREATION EMPLOYMENT CENTRE|25228071
3242|Kex Industrial Company|25228071

821|A & E Employment Centre|62993599
820|A & E Employment Centre|62993599
822|A & E Employment Centre|62993599
823|A & E Employment Centre|62993599

823|A & E Employment Centre|62993599
820|A & E Employment Centre|62993599
821|A & E Employment Centre|62993599
822|A & E Employment Centre|62993599

3479|Pure Employment Center|60389698
3884|WESTLAKE MANPOWER RESOURCES CO.|60389698

896|STAR CARE EMPLOYMENT AGENCY|26138080
894|STAR CARE EMPLOYMENT AGENCY|26138080
895|STAR CARE EMPLOYMENT AGENCY|26138080

1399|FURTHER CREATION EMPLOYMENT CENTRE|24124829
64|Superiority International Limited|24124829

64|Superiority International Limited|24124829
1399|FURTHER CREATION EMPLOYMENT CENTRE|24124829

2205|Ensemble Human Resources Co. Limited|35909993
3489|Ensemble Human Resources Co. Limited|35909993

1577|C & C Oversea Employment Company|25251000
1649|Hong Kong DH Employment Centre|25251000

1649|Hong Kong DH Employment Centre|25251000
1577|C & C Oversea Employment Company|25251000

762|Arrow Employment Services|21511125
761|Arrow Employment Services|21511125

822|A & E Employment Centre|62993599
820|A & E Employment Centre|62993599
821|A & E Employment Centre|62993599
823|A & E Employment Centre|62993599

1291|Skytrend Employment Agency|34263448
3015|INDO MANPOWER INTERNATIONAL LIMITED|34263448

3015|INDO MANPOWER INTERNATIONAL LIMITED|34263448
1291|Skytrend Employment Agency|34263448

