govid|english_name|telephone

139|H L&C; Employment Agency Limited|28810004
141|H L&C; Employment Agency Limited|28810004
325|Talent Source Limited|28810004

141|H L&C; Employment Agency Limited|28810004
139|H L&C; Employment Agency Limited|28810004
325|Talent Source Limited|28810004

325|Talent Source Limited|28810004
139|H L&C; Employment Agency Limited|28810004
141|H L&C; Employment Agency Limited|28810004

1140|MASS TRINITY INTERNATIONAL LIMITED|25257512
14|Top Services and Company|25257512
1621|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|25257512

1397|FURTHER CREATION EMPLOYMENT CENTRE|25228071
1398|FURTHER CREATION EMPLOYMENT CENTRE|25228071
3242|Kex Industrial Company|25228071

1398|FURTHER CREATION EMPLOYMENT CENTRE|25228071
1397|FURTHER CREATION EMPLOYMENT CENTRE|25228071
3242|Kex Industrial Company|25228071

1608|Radiant Maid Agency Service Limited|27800037
3237|Radiant Maid Agency Service Limited|27800037

1621|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|25257512
1140|MASS TRINITY INTERNATIONAL LIMITED|25257512
14|Top Services and Company|25257512

2205|Ensemble Human Resources Co. Limited|35909993
3489|Ensemble Human Resources Co. Limited|35909993
3577|Ensemble Human Resources Co. Limited|35909993
4063|Ensemble Human Resources Co. Limited|35909993

2587|FamilyMaid Employment Services Limited|35868811
2588|FamilyMaid Employment Services Limited|35868811

2703|GREEN SELECT EMPLOYMENT SERVICES CO.|24898738
4087|Live-in Seedling Employment Service Co.|24898738

3204|CITY EMPLOYMENT PARADISE CO.|24680380
3209|TSUEN WAN EMPLOYMENT PARADISE CO.|24680380

3403|Ansin Employment Services|28854168
3791|Perfect Helpers Limited|28854168

3519|CORDIAL EMPLOYMENT AGENCY CO|23328850
1691|WANG FULLCO EMPLOYMENT AGENCY LIMITED|23328850

3577|Ensemble Human Resources Co. Limited|35909993
2205|Ensemble Human Resources Co. Limited|35909993
3489|Ensemble Human Resources Co. Limited|35909993
4063|Ensemble Human Resources Co. Limited|35909993

3623|Hong Kong Cambodian Human Resource Association|31517979
3624|Hong Kong Cambodian Labour and Vocational Training Centre|31517979

3624|Hong Kong Cambodian Labour and Vocational Training Centre|31517979
3623|Hong Kong Cambodian Human Resource Association|31517979

3791|Perfect Helpers Limited|28854168
3403|Ansin Employment Services|28854168

3822|GALILEE EMPLOYMENT SERVICE COMPANY|23313096
3940|GALILEE EMPLOYMENT SERVICE COMPANY|23313096

3940|GALILEE EMPLOYMENT SERVICE COMPANY|23313096
3822|GALILEE EMPLOYMENT SERVICE COMPANY|23313096

4069|MANNA EMPLOYMENT AGENCY COMPANY LIMITED|92226063
4070|MANNA EMPLOYMENT AGENCY COMPANY LIMITED|92226063

4070|MANNA EMPLOYMENT AGENCY COMPANY LIMITED|92226063
4069|MANNA EMPLOYMENT AGENCY COMPANY LIMITED|92226063

4122|Helperspro Employment Agency Limited|25416771
3400|ABILITY AND COMPANY|25416771

4176|HOLY EMPLOYMENT CENTRE LIMITED|67686499
4190|Ho Yip Employment Agency Limited|67686499

4190|Ho Yip Employment Agency Limited|67686499
4176|HOLY EMPLOYMENT CENTRE LIMITED|67686499

14|Top Services and Company|25257512
1140|MASS TRINITY INTERNATIONAL LIMITED|25257512
1621|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|25257512

53|Finest International Limited|23886182
1400|FURTHER CREATION EMPLOYMENT CENTRE|23886182

64|Superiority International Limited|24124829
1399|FURTHER CREATION EMPLOYMENT CENTRE|24124829

70|Great Top Employment Service Centre|25108399
208|Mabros Employment Agency|25108399

86|D.D. Domestic Services|25263331
197|KA WO CONSULTANTS LIMITED|25263331
424|Home De Fairy Consultants Limited|25263331

208|Mabros Employment Agency|25108399
70|Great Top Employment Service Centre|25108399

221|SACRED HEART INTERNATIONAL CONSULTANTS|28348886
298|Way Tech Consultants Company|28348886

248|DAVID CHEUNG EMPLOYMENT AGENCY LIMITED|24028320
3575|DAVID CHEUNG EMPLOYMENT AGENCY LIMITED|24028320

265|Mrs. MA's Employment Services|26533603
266|Mrs. MA's Employment Services|26533603
366|Romy Employment Services|26533603

298|Way Tech Consultants Company|28348886
221|SACRED HEART INTERNATIONAL CONSULTANTS|28348886

302|Technic Employment Service Centre Limited|22334343
870|Cable Employment Service Limited|22334343

353|Maid Home Employment Agency|23339015
850|ANSTAR LIMITED|23339015

359|Caring Employment Centre|21519383
1920|TOP RESOURCES CONSULTANCY COMPANY|21519383

366|Romy Employment Services|26533603
265|Mrs. MA's Employment Services|26533603
266|Mrs. MA's Employment Services|26533603

424|Home De Fairy Consultants Limited|25263331
197|KA WO CONSULTANTS LIMITED|25263331
86|D.D. Domestic Services|25263331

460|Pessen Technology Limited|91234939
1673|MRS. HUI EMPLOYMENT AGENCY|91234939

513|The Searchers Human Resources Co.|23400648
419|Blue Sky Co.|23400648

537|LEADER EMPLOYMENT COMPANY LIMITED|26481918
539|LEADER EMPLOYMENT COMPANY LIMITED|26481918

539|LEADER EMPLOYMENT COMPANY LIMITED|26481918
537|LEADER EMPLOYMENT COMPANY LIMITED|26481918

547|Foreign Maid Employment Agency|31562334
4216|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|31562334

574|Jumbo International Maid Employment Agency|26688498
3349|SMOOTH MAID EMPLOYMENT AGENCY LIMITED|26688498

608|Great Possession Employment Agency|21178119
1371|Stone Employment Agency|21178119

619|SVC DEVELOPMENT CO.|24311331
57|Ivy's Agency (H.K.)|24311331

622|Anlida|27720086
2357|FUN TOP EMPLOYMENT SERVICE COMPANY|27720086

634|O & S Employment Agency|28560866
635|O & S Employment Agency|28560866

635|O & S Employment Agency|28560866
634|O & S Employment Agency|28560866

666|Pawer Express International Company Limited|25783311
407|C. & K. ENTERPRISES COMPANY LIMITED|25783311

683|Hung Chau Company Limited|31023311
682|Hung Chau Company Limited|31023311

707|Kasa Maid Agency Limited|28187898
1742|Sa Sa Employment Agency|28187898

761|Arrow Employment Services|21511125
762|Arrow Employment Services|21511125

810|Pacific Garden Employment Agency|27812933
3959|BTI COURIER EXPRESS|27812933

820|A & E Employment Centre|27701198
848|AIE Employment Centre|27701198

822|A & E Employment Centre|31000151
2628|A&F; EMPLOYMENT CENTRE|31000151

823|A & E Employment Centre|21551120
3768|A&G; EMPLOYMENT CENTRE|21551120

868|Chin House Employment Agency Limited|27044880
1282|Sunny Day Employment Agency|27044880

889|SKY EMPLOYMENT SERVICE COMPANY LIMITED|23669812
1110|PROTECTIVE EMPLOYMENT SERVICE COMPANY|23669812

896|STAR CARE EMPLOYMENT AGENCY|26138080
894|STAR CARE EMPLOYMENT AGENCY|26138080
895|STAR CARE EMPLOYMENT AGENCY|26138080

1030|BLISS EMPLOYMENT SERVICES LIMITED|21111105
1941|Mamie Employment Centre Limited|21111105

1110|PROTECTIVE EMPLOYMENT SERVICE COMPANY|23669812
889|SKY EMPLOYMENT SERVICE COMPANY LIMITED|23669812

1174|Grand Royal (AFT) Employment|27648878
3382|Grand Royal (AFT) Employment|27648878

1214|YOURMAID SERVICES CENTRE LIMITED|23888811
1265|Enjoy Services Centre Limited|23888811

1265|Enjoy Services Centre Limited|23888811
1214|YOURMAID SERVICES CENTRE LIMITED|23888811

1282|Sunny Day Employment Agency|27044880
868|Chin House Employment Agency Limited|27044880

1317|ALL THE BEST EMPLOYMENT LIMITED|21771888
3077|RCI International Employment Agency Limited|21771888

1371|Stone Employment Agency|21178119
608|Great Possession Employment Agency|21178119

1399|FURTHER CREATION EMPLOYMENT CENTRE|24124829
64|Superiority International Limited|24124829

1400|FURTHER CREATION EMPLOYMENT CENTRE|23886182
53|Finest International Limited|23886182

1577|C & C Oversea Employment Company|25251000
1649|Hong Kong DH Employment Centre|25251000

1590|Ngai Kan Employment Agency|91463388
2184|CHAMPION EMPLOYMENT|91463388

1624|SHUN FAT EMPLOYMENT CO|24990092
1858|NICOLE'S EMPLOYMENT CONSULTANTS|24990092

1649|Hong Kong DH Employment Centre|25251000
1577|C & C Oversea Employment Company|25251000

1673|MRS. HUI EMPLOYMENT AGENCY|91234939
460|Pessen Technology Limited|91234939

1690|MY SWEET HOME EMPLOYMENT AGENCY|21807023
3618|EAST STAR RECRUITMENT|21807023

1691|WANG FULLCO EMPLOYMENT AGENCY LIMITED|23328850
3519|CORDIAL EMPLOYMENT AGENCY CO|23328850

1737|HAPPY HOUSE EMPLOYMENT AGENCY|27893218
2001|FAVOR MAID EMPLOYMENT AGENCY|27893218
2836|GOLDEN PEAK EMPLOYMENT AGENCY|27893218

1818|Grand Palace Employment Agency Centre|35431857
4013|Grand Royal (AFT) Employment|35431857

1858|NICOLE'S EMPLOYMENT CONSULTANTS|24990092
1624|SHUN FAT EMPLOYMENT CO|24990092

1889|NAULI EMPLOYMENT AGENCY COMPANY LIMITED|28973003
1612|LI WING EMPLOYMENT CENTRE|28973003

1920|TOP RESOURCES CONSULTANCY COMPANY|21519383
359|Caring Employment Centre|21519383

1941|Mamie Employment Centre Limited|21111105
1030|BLISS EMPLOYMENT SERVICES LIMITED|21111105

1947|Excel Famous Domestic Helper Consultant Limited|23709999
3787|Excel Famous Domestic Helper Consultant Limited|23709999

2001|FAVOR MAID EMPLOYMENT AGENCY|27893218
1737|HAPPY HOUSE EMPLOYMENT AGENCY|27893218
2836|GOLDEN PEAK EMPLOYMENT AGENCY|27893218

2124|FAI SING (HONG KONG) LIMITED|27084038
4082|Fong Wah Trading Co|27084038

2184|CHAMPION EMPLOYMENT|91463388
1590|Ngai Kan Employment Agency|91463388

2250|HOME CARE EMPLOYMENT AGENCY LIMITED|91925079
2249|HOME CARE EMPLOYMENT AGENCY LIMITED|91925079

2292|FIRST CAPITAL RESOURCES GROUP LIMITED|23709882
2624|Maid Best Limited|23709882

2357|FUN TOP EMPLOYMENT SERVICE COMPANY|27720086
622|Anlida|27720086

2572|HEARTFUL EMPLOYMENT SERVICES (HK) LIMITED|26823841
81|Beatrice Filipino Domestic Helpers|26823841

2624|Maid Best Limited|23709882
2292|FIRST CAPITAL RESOURCES GROUP LIMITED|23709882

2627|A&F; EMPLOYMENT CENTRE|96821622
2629|A&F; EMPLOYMENT CENTRE|96821622
2630|A&F; EMPLOYMENT CENTRE|96821622

2628|A&F; EMPLOYMENT CENTRE|31000151
822|A & E Employment Centre|31000151

2629|A&F; EMPLOYMENT CENTRE|96821622
2627|A&F; EMPLOYMENT CENTRE|96821622
2630|A&F; EMPLOYMENT CENTRE|96821622

2630|A&F; EMPLOYMENT CENTRE|96821622
2627|A&F; EMPLOYMENT CENTRE|96821622
2629|A&F; EMPLOYMENT CENTRE|96821622

2749|KA YIN EMPLOYMENT CENTRE|24873111
2750|KA YIN EMPLOYMENT CENTRE|24873111

2750|KA YIN EMPLOYMENT CENTRE|24873111
2749|KA YIN EMPLOYMENT CENTRE|24873111

2836|GOLDEN PEAK EMPLOYMENT AGENCY|27893218
1737|HAPPY HOUSE EMPLOYMENT AGENCY|27893218
2001|FAVOR MAID EMPLOYMENT AGENCY|27893218

2959|Gracefield Employment Service Limited|28776699
3415|HELPER EASY LIMITED|28776699

3066|FESDI EMPLOYMENT CENTRE|28992101
1658|FESDI EMPLOYMENT CENTRE|28992101
3072|FESDI EMPLOYMENT CENTRE|28992101
3074|FESDI EMPLOYMENT CENTRE|28992101

3072|FESDI EMPLOYMENT CENTRE|28992101
1658|FESDI EMPLOYMENT CENTRE|28992101
3066|FESDI EMPLOYMENT CENTRE|28992101
3074|FESDI EMPLOYMENT CENTRE|28992101

3077|RCI International Employment Agency Limited|21771888
1317|ALL THE BEST EMPLOYMENT LIMITED|21771888

3206|CITY EMPLOYMENT PARADISE CO.|27726708
3412|SCENEWAY EMPLOYMENT PARADISE CO.|27726708

3209|TSUEN WAN EMPLOYMENT PARADISE CO.|24680380
3204|CITY EMPLOYMENT PARADISE CO.|24680380

3237|Radiant Maid Agency Service Limited|27800037
1608|Radiant Maid Agency Service Limited|27800037

3277|WING MING EMPLOYMENT SERVICES|63156633
4217|WING MING EMPLOYMENT SERVICES|63156633
4218|WING MING EMPLOYMENT SERVICES|63156633
4219|WING MING EMPLOYMENT SERVICES|63156633

3349|SMOOTH MAID EMPLOYMENT AGENCY LIMITED|26688498
574|Jumbo International Maid Employment Agency|26688498

3412|SCENEWAY EMPLOYMENT PARADISE CO.|27726708
3206|CITY EMPLOYMENT PARADISE CO.|27726708

3457|SINCERE COMPANY|21159923
3458|SINCERE COMPANY|21159923

3458|SINCERE COMPANY|21159923
3457|SINCERE COMPANY|21159923

3479|Pure Employment Center|60389698
3884|WESTLAKE MANPOWER RESOURCES CO.|60389698
3915|Helpers Market International Recruitment Limited|60389698

3489|Ensemble Human Resources Co. Limited|35909993
2205|Ensemble Human Resources Co. Limited|35909993
3577|Ensemble Human Resources Co. Limited|35909993
4063|Ensemble Human Resources Co. Limited|35909993

3575|DAVID CHEUNG EMPLOYMENT AGENCY LIMITED|24028320
248|DAVID CHEUNG EMPLOYMENT AGENCY LIMITED|24028320

3618|EAST STAR RECRUITMENT|21807023
1690|MY SWEET HOME EMPLOYMENT AGENCY|21807023

3728|WING MING EMPLOYMENT SERVICES|28776533
3978|WING MING EMPLOYMENT SERVICES|28776533

3768|A&G; EMPLOYMENT CENTRE|21551120
823|A & E Employment Centre|21551120

3787|Excel Famous Domestic Helper Consultant Limited|23709999
1947|Excel Famous Domestic Helper Consultant Limited|23709999

3799|Wing Fu Yu Employment Agency Limited|28384111
4109|INDO INDAH EMPLOYMENT AGENCY|28384111

3886|LT Domestic Helper Agency Limited|26684308
4132|R JOB LIMITED|26684308

3915|Helpers Market International Recruitment Limited|60389698
3479|Pure Employment Center|60389698
3884|WESTLAKE MANPOWER RESOURCES CO.|60389698

3959|BTI COURIER EXPRESS|27812933
810|Pacific Garden Employment Agency|27812933

3978|WING MING EMPLOYMENT SERVICES|28776533
3728|WING MING EMPLOYMENT SERVICES|28776533

4013|Grand Royal (AFT) Employment|35431857
1818|Grand Palace Employment Agency Centre|35431857

4015|PEACEFUL COMPANY|67315667
3554|PEACEFUL COMPANY|67315667

4063|Ensemble Human Resources Co. Limited|35909993
2205|Ensemble Human Resources Co. Limited|35909993
3489|Ensemble Human Resources Co. Limited|35909993
3577|Ensemble Human Resources Co. Limited|35909993

4064|THE ONE HELPER AGENCY|51114393
3843|THE ONE HELPER AGENCY|51114393

4087|Live-in Seedling Employment Service Co.|24898738
2703|GREEN SELECT EMPLOYMENT SERVICES CO.|24898738

4109|INDO INDAH EMPLOYMENT AGENCY|28384111
3799|Wing Fu Yu Employment Agency Limited|28384111

4132|R JOB LIMITED|26684308
3886|LT Domestic Helper Agency Limited|26684308

4166|Liberty Employment Agency|25786029
1588|Liberty Employment Agency|25786029

4216|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|31562334
547|Foreign Maid Employment Agency|31562334

4217|WING MING EMPLOYMENT SERVICES|63156633
3277|WING MING EMPLOYMENT SERVICES|63156633
4218|WING MING EMPLOYMENT SERVICES|63156633
4219|WING MING EMPLOYMENT SERVICES|63156633

4218|WING MING EMPLOYMENT SERVICES|63156633
3277|WING MING EMPLOYMENT SERVICES|63156633
4217|WING MING EMPLOYMENT SERVICES|63156633
4219|WING MING EMPLOYMENT SERVICES|63156633

4219|WING MING EMPLOYMENT SERVICES|63156633
3277|WING MING EMPLOYMENT SERVICES|63156633
4217|WING MING EMPLOYMENT SERVICES|63156633
4218|WING MING EMPLOYMENT SERVICES|63156633

57|Ivy's Agency (H.K.)|24311331
619|SVC DEVELOPMENT CO.|24311331

81|Beatrice Filipino Domestic Helpers|26823841
2572|HEARTFUL EMPLOYMENT SERVICES (HK) LIMITED|26823841

197|KA WO CONSULTANTS LIMITED|25263331
424|Home De Fairy Consultants Limited|25263331
86|D.D. Domestic Services|25263331

238|Luckyfull International Limited|26513978
786|Perfect World Employment Services Co|26513978

240|Good Link Consultants|23690816
4214|Good Link Consultants|23690816

266|Mrs. MA's Employment Services|26533603
265|Mrs. MA's Employment Services|26533603
366|Romy Employment Services|26533603

346|K&P; Employment Agency|27140849
3724|K&P; Employment Agency|27140849

407|C. & K. ENTERPRISES COMPANY LIMITED|25783311
666|Pawer Express International Company Limited|25783311

438|Pak On (Hong Kong) Company Limited|29740000
955|Royalcorp Employment Agency Limited|29740000

682|Hung Chau Company Limited|31023311
683|Hung Chau Company Limited|31023311

762|Arrow Employment Services|21511125
761|Arrow Employment Services|21511125

786|Perfect World Employment Services Co|26513978
238|Luckyfull International Limited|26513978

848|AIE Employment Centre|27701198
820|A & E Employment Centre|27701198

850|ANSTAR LIMITED|23339015
353|Maid Home Employment Agency|23339015

870|Cable Employment Service Limited|22334343
302|Technic Employment Service Centre Limited|22334343

894|STAR CARE EMPLOYMENT AGENCY|26138080
895|STAR CARE EMPLOYMENT AGENCY|26138080
896|STAR CARE EMPLOYMENT AGENCY|26138080

895|STAR CARE EMPLOYMENT AGENCY|26138080
894|STAR CARE EMPLOYMENT AGENCY|26138080
896|STAR CARE EMPLOYMENT AGENCY|26138080

955|Royalcorp Employment Agency Limited|29740000
438|Pak On (Hong Kong) Company Limited|29740000

1558|CB Consultants|23886263
1656|Chris Benne|23886263
2144|TEH WONG MANPOWER|23886263

1612|LI WING EMPLOYMENT CENTRE|28973003
1889|NAULI EMPLOYMENT AGENCY COMPANY LIMITED|28973003

1656|Chris Benne|23886263
1558|CB Consultants|23886263
2144|TEH WONG MANPOWER|23886263

1658|FESDI EMPLOYMENT CENTRE|28992101
3066|FESDI EMPLOYMENT CENTRE|28992101
3072|FESDI EMPLOYMENT CENTRE|28992101
3074|FESDI EMPLOYMENT CENTRE|28992101

1742|Sa Sa Employment Agency|28187898
707|Kasa Maid Agency Limited|28187898

2144|TEH WONG MANPOWER|23886263
1558|CB Consultants|23886263
1656|Chris Benne|23886263

3074|FESDI EMPLOYMENT CENTRE|28992101
1658|FESDI EMPLOYMENT CENTRE|28992101
3066|FESDI EMPLOYMENT CENTRE|28992101
3072|FESDI EMPLOYMENT CENTRE|28992101

3242|Kex Industrial Company|25228071
1397|FURTHER CREATION EMPLOYMENT CENTRE|25228071
1398|FURTHER CREATION EMPLOYMENT CENTRE|25228071

3269|M. Wise Company|24760868
3569|CHAK HANG COMPANY LIMITED|24760868

3382|Grand Royal (AFT) Employment|27648878
1174|Grand Royal (AFT) Employment|27648878

3400|ABILITY AND COMPANY|25416771
4122|Helperspro Employment Agency Limited|25416771

3554|PEACEFUL COMPANY|67315667
4015|PEACEFUL COMPANY|67315667

3569|CHAK HANG COMPANY LIMITED|24760868
3269|M. Wise Company|24760868

3724|K&P; Employment Agency|27140849
346|K&P; Employment Agency|27140849

3843|THE ONE HELPER AGENCY|51114393
4064|THE ONE HELPER AGENCY|51114393

3884|WESTLAKE MANPOWER RESOURCES CO.|60389698
3479|Pure Employment Center|60389698
3915|Helpers Market International Recruitment Limited|60389698

4082|Fong Wah Trading Co|27084038
2124|FAI SING (HONG KONG) LIMITED|27084038

4214|Good Link Consultants|23690816
240|Good Link Consultants|23690816

