govid|english_name|fax

100|H L&C; Employment Agency Limited|28904000
101|H L&C; Employment Agency Limited|28904000
247|Talent Source Limited|28904000

101|H L&C; Employment Agency Limited|28904000
100|H L&C; Employment Agency Limited|28904000
247|Talent Source Limited|28904000

171|ASIA-ONE EMPLOYMENT AGENCY|23685555
166|ASIA-ONE EMPLOYMENT AGENCY|23685555
168|ASIA-ONE EMPLOYMENT AGENCY|23685555

191|Asia Selective Employment Agency|23922698
369|All Round Employment Agency|23922698

247|Talent Source Limited|28904000
100|H L&C; Employment Agency Limited|28904000
101|H L&C; Employment Agency Limited|28904000

280|Cheer Lots Employment Services Limited|31623402
235|Excel Choice Employment Services Limited|31623402

369|All Round Employment Agency|23922698
191|Asia Selective Employment Agency|23922698

390|Jedegal Consultants Co.|23952682
389|Jedegal Consultants Co.|23952682

491|Maid Supply Employment Agency|23932096
1600|UNITED FAMILY EMPLOYMENT AGENCY|23932096

595|Po Sing Employment Service Centre Limited|25663720
2622|FULLY HUMAN RESOURCE AGENCY COMPANY|25663720

633|HAPPY YO YO OVERSEA EMPLOYMENT AGENCY|23030540
2227|KING'S ONE EMPLOYMENT AGENCY|23030540

885|MASS TRINITY INTERNATIONAL LIMITED|28681960
12|Top Services and Company|28681960
1248|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|28681960

1066|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1067|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1068|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1069|FURTHER CREATION EMPLOYMENT CENTRE|28697900
2166|Kex Industrial Company|28697900
34|Finest International Limited|28697900
35|Finest International Limited|28697900
42|Superiority International Limited|28697900

1068|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1066|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1067|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1069|FURTHER CREATION EMPLOYMENT CENTRE|28697900
2166|Kex Industrial Company|28697900
34|Finest International Limited|28697900
35|Finest International Limited|28697900
42|Superiority International Limited|28697900

1130|ASIA EXPANSION LIMITED|30201825
678|VIEW RISE MAID SERVICE|30201825

1139|MADAM JOE PROFESSIONAL DOMESTIC SERVICES COMPANY|35202170
1620|Rising Sun Employment Agency|35202170

1183|HOME FIRST EMPLOYMENT CENTRE|23031339
1184|HOME FIRST EMPLOYMENT CENTRE|23031339

1184|HOME FIRST EMPLOYMENT CENTRE|23031339
1183|HOME FIRST EMPLOYMENT CENTRE|23031339

1237|Radiant Maid Agency Service Limited|27800050
1238|Radiant Maid Agency Service Limited|27800050

1248|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|28681960
12|Top Services and Company|28681960
885|MASS TRINITY INTERNATIONAL LIMITED|28681960

1628|Ensemble Human Resources Co. Limited|21490779
1629|Ensemble Human Resources Co. Limited|21490779
1630|Ensemble Human Resources Co. Limited|21490779
1631|Ensemble Human Resources Co. Limited|21490779

1629|Ensemble Human Resources Co. Limited|21490779
1628|Ensemble Human Resources Co. Limited|21490779
1630|Ensemble Human Resources Co. Limited|21490779
1631|Ensemble Human Resources Co. Limited|21490779

1825|HEARTFUL EMPLOYMENT SERVICES (HK) LIMITED|26823847
57|Beatrice Filipino Domestic Helpers|26823847

1900|GREEN SELECT EMPLOYMENT SERVICES CO.|24898206
2743|Live-in Seedling Employment Service Co.|24898206

1911|TAKEME EMPLOYMENT AGENCY|35655219
1912|TAKEME EMPLOYMENT AGENCY|35655219

1996|HOME OF THE ELDERLY HUMAN RESOURCES CONSULTANTS|30138689
2713|EMINENT TALENTS|30138689

2013|Grand Excellent Intercontinental Recruitment Agency|23074936
2550|Grand Bee Trade Plus|23074936

2150|CITY EMPLOYMENT PARADISE CO.|22134468
2153|TSUEN WAN EMPLOYMENT PARADISE CO.|22134468

2269|Ansin Employment Services|28859080
1814|HELPER SEARCH TECHNOLOGIES LIMITED|28859080

2339|CORDIAL EMPLOYMENT AGENCY CO|23328803
1309|WANG FULLCO EMPLOYMENT AGENCY LIMITED|23328803

2398|WILLPOWER EMPLOYMENT CONSULTANT|26758600
2311|DILIGENT EMPLOYMENT|26758600

2408|Hong Kong Cambodian Human Resource Association|21873968
2409|Hong Kong Cambodian Labour and Vocational Training Centre|21873968

2409|Hong Kong Cambodian Labour and Vocational Training Centre|21873968
2408|Hong Kong Cambodian Human Resource Association|21873968

2516|GALILEE EMPLOYMENT SERVICE COMPANY|81485538
2517|GALILEE EMPLOYMENT SERVICE COMPANY|81485538

2517|GALILEE EMPLOYMENT SERVICE COMPANY|81485538
2516|GALILEE EMPLOYMENT SERVICE COMPANY|81485538

2713|EMINENT TALENTS|30138689
1996|HOME OF THE ELDERLY HUMAN RESOURCES CONSULTANTS|30138689

2781|R JOB LIMITED|35202147
2566|LT Domestic Helper Agency Limited|35202147

12|Top Services and Company|28681960
1248|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|28681960
885|MASS TRINITY INTERNATIONAL LIMITED|28681960

34|Finest International Limited|28697900
1066|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1067|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1068|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1069|FURTHER CREATION EMPLOYMENT CENTRE|28697900
2166|Kex Industrial Company|28697900
35|Finest International Limited|28697900
42|Superiority International Limited|28697900

35|Finest International Limited|28697900
1066|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1067|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1068|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1069|FURTHER CREATION EMPLOYMENT CENTRE|28697900
2166|Kex Industrial Company|28697900
34|Finest International Limited|28697900
42|Superiority International Limited|28697900

42|Superiority International Limited|28697900
1066|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1067|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1068|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1069|FURTHER CREATION EMPLOYMENT CENTRE|28697900
2166|Kex Industrial Company|28697900
34|Finest International Limited|28697900
35|Finest International Limited|28697900

48|Great Top Employment Service Centre|25120854
157|Mabros Employment Agency|25120854

61|D.D. Domestic Services|25263380
150|KA WO CONSULTANTS LIMITED|25263380
328|Home De Fairy Consultants Limited|25263380

66|Wellmark Employment Services Consultant|21392800
506|Markwell Service Company|21392800

125|Right Man Consultants Limited|28571362
1412|MR. RIGHT EMPLOYMENT CENTRE|28571362

133|C.T. Maids Limited|25238790
1785|MAIDSDOT.COM LIMITED|25238790

157|Mabros Employment Agency|25120854
48|Great Top Employment Service Centre|25120854

165|SACRED HEART INTERNATIONAL CONSULTANTS|28322036
225|Way Tech Consultants Company|28322036

166|ASIA-ONE EMPLOYMENT AGENCY|23685555
168|ASIA-ONE EMPLOYMENT AGENCY|23685555
171|ASIA-ONE EMPLOYMENT AGENCY|23685555

168|ASIA-ONE EMPLOYMENT AGENCY|23685555
166|ASIA-ONE EMPLOYMENT AGENCY|23685555
171|ASIA-ONE EMPLOYMENT AGENCY|23685555

198|Mrs. MA's Employment Services|26532397
199|Mrs. MA's Employment Services|26532397
277|Romy Employment Services|26532397

205|PBI Employment Services & Trading Company|25743304
1913|CLARICH EMPLOYMENT COMPANY|25743304

225|Way Tech Consultants Company|28322036
165|SACRED HEART INTERNATIONAL CONSULTANTS|28322036

235|Excel Choice Employment Services Limited|31623402
280|Cheer Lots Employment Services Limited|31623402

245|Right Choice Overseas Employment Centre Limited|30079141
244|Right Choice Overseas Employment Centre Limited|30079141

270|Caring Employment Centre|21519335
1456|TOP RESOURCES CONSULTANCY COMPANY|21519335

277|Romy Employment Services|26532397
198|Mrs. MA's Employment Services|26532397
199|Mrs. MA's Employment Services|26532397

328|Home De Fairy Consultants Limited|25263380
150|KA WO CONSULTANTS LIMITED|25263380
61|D.D. Domestic Services|25263380

342|Pak On (Hong Kong) Company Limited|26316188
744|Royalcorp Employment Agency Limited|26316188

401|The Searchers Human Resources Co.|27090758
323|Blue Sky Co.|27090758

407|New Town Employment Agency|24589491
1431|HO MAN EMPLOYMENT AGENCY|24589491

416|H W Employment Agency Centre|27706568
415|H W Employment Agency Centre|27706568

431|Foreign Maid Employment Agency|31562336
1439|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|31562336

439|Get Maid Agency|28159750
2178|POINTS AGENCY|28159750
438|Get Maid Agency|28159750
440|Get Maid Agency|28159750

440|Get Maid Agency|28159750
2178|POINTS AGENCY|28159750
438|Get Maid Agency|28159750
439|Get Maid Agency|28159750

454|Jumbo International Maid Employment Agency|23388402
2232|SMOOTH MAID EMPLOYMENT AGENCY LIMITED|23388402

456|Ming Tak Services Company|29888512
457|Ming Tak Services Company|29888512

487|Great Possession Employment Agency|25138773
1049|Stone Employment Agency|25138773

489|Bright Essence International Limited|24739776
533|Brilliant Employment Consultant|24739776

506|Markwell Service Company|21392800
66|Wellmark Employment Services Consultant|21392800

524|Rejoice Employment Services Limited|34282273
950|VCARE EMPLOYMENT SERVICES LIMITED|34282273

548|Hung Chau Company Limited|31020066
547|Hung Chau Company Limited|31020066

570|Kasa Maid Agency Limited|21267682
1149|St. Joseph's Employment Consultants|21267682

597|Arrow Employment Services|23326511
598|Arrow Employment Services|23326511

641|Pacific Garden Employment Agency|27711295
2619|BTI COURIER EXPRESS|27711295

645|A & E Employment Centre|23889057
1863|A&F; EMPLOYMENT CENTRE|23889057
1864|A&F; EMPLOYMENT CENTRE|23889057
1866|A&F; EMPLOYMENT CENTRE|23889057
660|AIE Employment Centre|23889057

646|A & E Employment Centre|31000120
1865|A&F; EMPLOYMENT CENTRE|31000120

669|DK & C Employment Service Co.|35851669
1770|DIANA Human Resources|35851669

671|Chin House Employment Agency Limited|27045880
989|Sunny Day Employment Agency|27045880

678|VIEW RISE MAID SERVICE|30201825
1130|ASIA EXPANSION LIMITED|30201825

688|SKY EMPLOYMENT SERVICE COMPANY LIMITED|37412881
865|PROTECTIVE EMPLOYMENT SERVICE COMPANY|37412881

693|STAR CARE EMPLOYMENT AGENCY|26138085
692|STAR CARE EMPLOYMENT AGENCY|26138085
694|STAR CARE EMPLOYMENT AGENCY|26138085
695|STAR CARE EMPLOYMENT AGENCY|26138085

695|STAR CARE EMPLOYMENT AGENCY|26138085
692|STAR CARE EMPLOYMENT AGENCY|26138085
693|STAR CARE EMPLOYMENT AGENCY|26138085
694|STAR CARE EMPLOYMENT AGENCY|26138085

699|UNITED ASIA EMPLOYMENT AGENCY|23331344
889|NOW EMPLOYMENT AGENCY|23331344

703|Advantage Consultant Co.|27711420
702|Advantage Consultant Co.|27711420

744|Royalcorp Employment Agency Limited|26316188
342|Pak On (Hong Kong) Company Limited|26316188

799|BLISS EMPLOYMENT SERVICES LIMITED|21111104
1469|Mamie Employment Centre Limited|21111104

865|PROTECTIVE EMPLOYMENT SERVICE COMPANY|37412881
688|SKY EMPLOYMENT SERVICE COMPANY LIMITED|37412881

889|NOW EMPLOYMENT AGENCY|23331344
699|UNITED ASIA EMPLOYMENT AGENCY|23331344

908|C & D EMPLOYMENT AGENCY|31767419
909|C & D EMPLOYMENT AGENCY|31767419

910|Grand Royal (AFT) Employment|27648688
1390|Grand Palace Employment Agency Centre|27648688
2664|GRAND WINNERS EMPLOYMENT CENTRE|27648688
911|Grand Royal (AFT) Employment|27648688
912|Grand Royal (AFT) Employment|27648688
913|Grand Royal (AFT) Employment|27648688

911|Grand Royal (AFT) Employment|27648688
1390|Grand Palace Employment Agency Centre|27648688
