govid|english_name|telephone
694|STAR CARE EMPLOYMENT AGENCY|26138080

799|BLISS EMPLOYMENT SERVICES LIMITED|21111105
1469|Mamie Employment Centre Limited|21111105

865|PROTECTIVE EMPLOYMENT SERVICE COMPANY|23669812
688|SKY EMPLOYMENT SERVICE COMPANY LIMITED|23669812

910|Grand Royal (AFT) Employment|27648878
913|Grand Royal (AFT) Employment|27648878

912|Grand Royal (AFT) Employment|35431857
1390|Grand Palace Employment Agency Centre|35431857

913|Grand Royal (AFT) Employment|27648878
910|Grand Royal (AFT) Employment|27648878

942|YOURMAID SERVICES CENTRE LIMITED|23888811
977|Enjoy Services Centre Limited|23888811

977|Enjoy Services Centre Limited|23888811
942|YOURMAID SERVICES CENTRE LIMITED|23888811

989|Sunny Day Employment Agency|27044880
671|Chin House Employment Agency Limited|27044880

1014|ALL THE BEST EMPLOYMENT LIMITED|21771888
1509|RCI International Employment Agency Limited|21771888

1049|Stone Employment Agency|21178119
487|Great Possession Employment Agency|21178119

1067|FURTHER CREATION EMPLOYMENT CENTRE|24124829
42|Superiority International Limited|24124829

1069|FURTHER CREATION EMPLOYMENT CENTRE|23886182
34|Finest International Limited|23886182

1221|Ngai Kan Employment Agency|91463388
1615|CHAMPION EMPLOYMENT|91463388

1238|Radiant Maid Agency Service Limited|27800037
1237|Radiant Maid Agency Service Limited|27800037

1250|SHUN FAT EMPLOYMENT CO|24990092
1417|NICOLE'S EMPLOYMENT CONSULTANTS|24990092

1280|FESDI EMPLOYMENT CENTRE|28992101
1278|FESDI EMPLOYMENT CENTRE|28992101
1285|FESDI EMPLOYMENT CENTRE|28992101

1297|MRS. HUI EMPLOYMENT AGENCY|91234939
356|Pessen Technology Limited|91234939

1309|WANG FULLCO EMPLOYMENT AGENCY LIMITED|23328850
2339|CORDIAL EMPLOYMENT AGENCY CO|23328850

1333|HAPPY HOUSE EMPLOYMENT AGENCY|27893218
1503|FAVOR MAID EMPLOYMENT AGENCY|27893218
1966|GOLDEN PEAK EMPLOYMENT AGENCY|27893218

1390|Grand Palace Employment Agency Centre|35431857
912|Grand Royal (AFT) Employment|35431857

1417|NICOLE'S EMPLOYMENT CONSULTANTS|24990092
1250|SHUN FAT EMPLOYMENT CO|24990092

1420|JET SYSTEM PACIFIC LIMITED|69217674
1421|JET SYSTEM PACIFIC LIMITED|69217674

1421|JET SYSTEM PACIFIC LIMITED|69217674
1420|JET SYSTEM PACIFIC LIMITED|69217674

1436|NAULI EMPLOYMENT AGENCY COMPANY LIMITED|28973003
1241|LI WING EMPLOYMENT CENTRE|28973003

1439|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|31562334
