govid|english_name|fax

97|H L&C; Employment Agency Limited|28904000
243|Talent Source Limited|28904000
98|H L&C; Employment Agency Limited|28904000

98|H L&C; Employment Agency Limited|28904000
243|Talent Source Limited|28904000
97|H L&C; Employment Agency Limited|28904000

167|ASIA-ONE EMPLOYMENT AGENCY|23685555
162|ASIA-ONE EMPLOYMENT AGENCY|23685555
164|ASIA-ONE EMPLOYMENT AGENCY|23685555

187|Asia Selective Employment Agency|23922698
365|All Round Employment Agency|23922698

243|Talent Source Limited|28904000
97|H L&C; Employment Agency Limited|28904000
98|H L&C; Employment Agency Limited|28904000

276|Cheer Lots Employment Services Limited|31623402
231|Excel Choice Employment Services Limited|31623402

365|All Round Employment Agency|23922698
187|Asia Selective Employment Agency|23922698

386|Jedegal Consultants Co.|23952682
385|Jedegal Consultants Co.|23952682

486|Maid Supply Employment Agency|23932096
1579|UNITED FAMILY EMPLOYMENT AGENCY|23932096

590|Po Sing Employment Service Centre Limited|25663720
2571|FULLY HUMAN RESOURCE AGENCY COMPANY|25663720

629|HAPPY YO YO OVERSEA EMPLOYMENT AGENCY|23030540
2189|KING'S ONE EMPLOYMENT AGENCY|23030540

877|MASS TRINITY INTERNATIONAL LIMITED|28681960
12|Top Services and Company|28681960
1235|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|28681960

1057|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1058|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1059|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1060|FURTHER CREATION EMPLOYMENT CENTRE|28697900
2135|Kex Industrial Company|28697900
33|Finest International Limited|28697900
34|Finest International Limited|28697900
41|Superiority International Limited|28697900

1059|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1057|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1058|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1060|FURTHER CREATION EMPLOYMENT CENTRE|28697900
2135|Kex Industrial Company|28697900
33|Finest International Limited|28697900
34|Finest International Limited|28697900
41|Superiority International Limited|28697900

1120|ASIA EXPANSION LIMITED|30201825
674|VIEW RISE MAID SERVICE|30201825

1129|MADAM JOE PROFESSIONAL DOMESTIC SERVICES COMPANY|35202170
1599|Rising Sun Employment Agency|35202170

1173|HOME FIRST EMPLOYMENT CENTRE|23031339
1174|HOME FIRST EMPLOYMENT CENTRE|23031339

1174|HOME FIRST EMPLOYMENT CENTRE|23031339
1173|HOME FIRST EMPLOYMENT CENTRE|23031339

1224|Radiant Maid Agency Service Limited|27800050
1225|Radiant Maid Agency Service Limited|27800050

1235|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|28681960
12|Top Services and Company|28681960
877|MASS TRINITY INTERNATIONAL LIMITED|28681960

1607|Ensemble Human Resources Co. Limited|21490779
1608|Ensemble Human Resources Co. Limited|21490779
1609|Ensemble Human Resources Co. Limited|21490779
1610|Ensemble Human Resources Co. Limited|21490779

1608|Ensemble Human Resources Co. Limited|21490779
1607|Ensemble Human Resources Co. Limited|21490779
1609|Ensemble Human Resources Co. Limited|21490779
1610|Ensemble Human Resources Co. Limited|21490779

1882|TAKEME EMPLOYMENT AGENCY|35655219
1883|TAKEME EMPLOYMENT AGENCY|35655219

1963|HOME OF THE ELDERLY HUMAN RESOURCES CONSULTANTS|30138689
2659|EMINENT TALENTS|30138689

1980|Grand Excellent Intercontinental Recruitment Agency|23074936
2506|Grand Bee Trade Plus|23074936

2119|CITY EMPLOYMENT PARADISE CO.|22134468
2122|TSUEN WAN EMPLOYMENT PARADISE CO.|22134468

2227|Ansin Employment Services|28859080
1787|HELPER SEARCH TECHNOLOGIES LIMITED|28859080

2295|CORDIAL EMPLOYMENT AGENCY CO|23328803
1296|WANG FULLCO EMPLOYMENT AGENCY LIMITED|23328803

2354|WILLPOWER EMPLOYMENT CONSULTANT|26758600
2269|DILIGENT EMPLOYMENT|26758600

2364|Hong Kong Cambodian Human Resource Association|21873968
2365|Hong Kong Cambodian Labour and Vocational Training Centre|21873968

2365|Hong Kong Cambodian Labour and Vocational Training Centre|21873968
2364|Hong Kong Cambodian Human Resource Association|21873968

2472|GALILEE EMPLOYMENT SERVICE COMPANY|81485538
2473|GALILEE EMPLOYMENT SERVICE COMPANY|81485538

2473|GALILEE EMPLOYMENT SERVICE COMPANY|81485538
2472|GALILEE EMPLOYMENT SERVICE COMPANY|81485538

2659|EMINENT TALENTS|30138689
1963|HOME OF THE ELDERLY HUMAN RESOURCES CONSULTANTS|30138689

2726|R JOB LIMITED|35202147
2522|LT Domestic Helper Agency Limited|35202147

12|Top Services and Company|28681960
1235|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|28681960
877|MASS TRINITY INTERNATIONAL LIMITED|28681960

33|Finest International Limited|28697900
1057|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1058|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1059|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1060|FURTHER CREATION EMPLOYMENT CENTRE|28697900
2135|Kex Industrial Company|28697900
34|Finest International Limited|28697900
41|Superiority International Limited|28697900

34|Finest International Limited|28697900
1057|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1058|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1059|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1060|FURTHER CREATION EMPLOYMENT CENTRE|28697900
2135|Kex Industrial Company|28697900
33|Finest International Limited|28697900
41|Superiority International Limited|28697900

41|Superiority International Limited|28697900
1057|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1058|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1059|FURTHER CREATION EMPLOYMENT CENTRE|28697900
1060|FURTHER CREATION EMPLOYMENT CENTRE|28697900
2135|Kex Industrial Company|28697900
33|Finest International Limited|28697900
34|Finest International Limited|28697900

47|Great Top Employment Service Centre|25120854
154|Mabros Employment Agency|25120854

60|D.D. Domestic Services|25263380
147|KA WO CONSULTANTS LIMITED|25263380
324|Home De Fairy Consultants Limited|25263380

65|Wellmark Employment Services Consultant|21392800
501|Markwell Service Company|21392800

122|Right Man Consultants Limited|28571362
1395|MR. RIGHT EMPLOYMENT CENTRE|28571362

130|C.T. Maids Limited|25238790
1758|MAIDSDOT.COM LIMITED|25238790

154|Mabros Employment Agency|25120854
47|Great Top Employment Service Centre|25120854

161|SACRED HEART INTERNATIONAL CONSULTANTS|28322036
221|Way Tech Consultants Company|28322036

162|ASIA-ONE EMPLOYMENT AGENCY|23685555
164|ASIA-ONE EMPLOYMENT AGENCY|23685555
167|ASIA-ONE EMPLOYMENT AGENCY|23685555

164|ASIA-ONE EMPLOYMENT AGENCY|23685555
162|ASIA-ONE EMPLOYMENT AGENCY|23685555
167|ASIA-ONE EMPLOYMENT AGENCY|23685555

194|Mrs. MA's Employment Services|26532397
195|Mrs. MA's Employment Services|26532397
273|Romy Employment Services|26532397

201|PBI Employment Services & Trading Company|25743304
1884|CLARICH EMPLOYMENT COMPANY|25743304

231|Excel Choice Employment Services Limited|31623402
276|Cheer Lots Employment Services Limited|31623402

241|Right Choice Overseas Employment Centre Limited|30079141
240|Right Choice Overseas Employment Centre Limited|30079141

261|Maid Home Employment Agency|23331035
658|ANSTAR LIMITED|23331035

266|Caring Employment Centre|21519335
1439|TOP RESOURCES CONSULTANCY COMPANY|21519335

273|Romy Employment Services|26532397
194|Mrs. MA's Employment Services|26532397
195|Mrs. MA's Employment Services|26532397

324|Home De Fairy Consultants Limited|25263380
147|KA WO CONSULTANTS LIMITED|25263380
60|D.D. Domestic Services|25263380

338|Pak On (Hong Kong) Company Limited|26316188
736|Royalcorp Employment Agency Limited|26316188

397|The Searchers Human Resources Co.|27090758
319|Blue Sky Co.|27090758

403|New Town Employment Agency|24589491
1414|HO MAN EMPLOYMENT AGENCY|24589491

412|H W Employment Agency Centre|27706568
411|H W Employment Agency Centre|27706568

427|Foreign Maid Employment Agency|31562336
1422|WARM HOUSE EMPLOYMENT SERVICES CENTRE LIMITED|31562336

435|Get Maid Agency|28159750
2147|POINTS AGENCY|28159750
434|Get Maid Agency|28159750
436|Get Maid Agency|28159750

436|Get Maid Agency|28159750
2147|POINTS AGENCY|28159750
434|Get Maid Agency|28159750
435|Get Maid Agency|28159750

449|Jumbo International Maid Employment Agency|23388402
2194|SMOOTH MAID EMPLOYMENT AGENCY LIMITED|23388402

451|Ming Tak Services Company|29888512
452|Ming Tak Services Company|29888512

482|Great Possession Employment Agency|25138773
1040|Stone Employment Agency|25138773

