govid|english_name|telephone

97|H L&C; Employment Agency Limited|28810004
243|Talent Source Limited|28810004
98|H L&C; Employment Agency Limited|28810004

98|H L&C; Employment Agency Limited|28810004
243|Talent Source Limited|28810004
97|H L&C; Employment Agency Limited|28810004

243|Talent Source Limited|28810004
97|H L&C; Employment Agency Limited|28810004
98|H L&C; Employment Agency Limited|28810004

877|MASS TRINITY INTERNATIONAL LIMITED|25257512
12|Top Services and Company|25257512
1235|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|25257512

1057|FURTHER CREATION EMPLOYMENT CENTRE|25228071
1059|FURTHER CREATION EMPLOYMENT CENTRE|25228071
2135|Kex Industrial Company|25228071

1059|FURTHER CREATION EMPLOYMENT CENTRE|25228071
1057|FURTHER CREATION EMPLOYMENT CENTRE|25228071
2135|Kex Industrial Company|25228071

1173|HOME FIRST EMPLOYMENT CENTRE|23031336
1174|HOME FIRST EMPLOYMENT CENTRE|23031336

1174|HOME FIRST EMPLOYMENT CENTRE|23031336
1173|HOME FIRST EMPLOYMENT CENTRE|23031336

1224|Radiant Maid Agency Service Limited|27800037
1225|Radiant Maid Agency Service Limited|27800037

1235|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|25257512
12|Top Services and Company|25257512
877|MASS TRINITY INTERNATIONAL LIMITED|25257512

1607|Ensemble Human Resources Co. Limited|35909993
1608|Ensemble Human Resources Co. Limited|35909993
1609|Ensemble Human Resources Co. Limited|35909993
1610|Ensemble Human Resources Co. Limited|35909993

1608|Ensemble Human Resources Co. Limited|35909993
1607|Ensemble Human Resources Co. Limited|35909993
1609|Ensemble Human Resources Co. Limited|35909993
1610|Ensemble Human Resources Co. Limited|35909993

1808|FamilyMaid Employment Services Limited|35868811
2983|SEBASTIAN|35868811

1872|GREEN SELECT EMPLOYMENT SERVICES CO.|24898738
2688|Live-in Seedling Employment Service Co.|24898738

1882|TAKEME EMPLOYMENT AGENCY|62267749
1883|TAKEME EMPLOYMENT AGENCY|62267749

2119|CITY EMPLOYMENT PARADISE CO.|24680380
2122|TSUEN WAN EMPLOYMENT PARADISE CO.|24680380

2295|CORDIAL EMPLOYMENT AGENCY CO|23328850
1296|WANG FULLCO EMPLOYMENT AGENCY LIMITED|23328850

2364|Hong Kong Cambodian Human Resource Association|31517979
2365|Hong Kong Cambodian Labour and Vocational Training Centre|31517979

2365|Hong Kong Cambodian Labour and Vocational Training Centre|31517979
2364|Hong Kong Cambodian Human Resource Association|31517979

2472|GALILEE EMPLOYMENT SERVICE COMPANY|23313096
2473|GALILEE EMPLOYMENT SERVICE COMPANY|23313096

2473|GALILEE EMPLOYMENT SERVICE COMPANY|23313096
2472|GALILEE EMPLOYMENT SERVICE COMPANY|23313096

2726|R JOB LIMITED|35202145
2522|LT Domestic Helper Agency Limited|35202145

12|Top Services and Company|25257512
1235|BLUE BAY EMPLOYMENT SERVICE COMPANY LIMITED|25257512
877|MASS TRINITY INTERNATIONAL LIMITED|25257512

33|Finest International Limited|23886182
1060|FURTHER CREATION EMPLOYMENT CENTRE|23886182

41|Superiority International Limited|24124829
1058|FURTHER CREATION EMPLOYMENT CENTRE|24124829

47|Great Top Employment Service Centre|25108399
154|Mabros Employment Agency|25108399

60|D.D. Domestic Services|25263331
147|KA WO CONSULTANTS LIMITED|25263331
324|Home De Fairy Consultants Limited|25263331

148|EMPLOYMENT WORLD|28912896
2942|LUCKY MAIDS JOB CENTRE|28912896

154|Mabros Employment Agency|25108399
47|Great Top Employment Service Centre|25108399

161|SACRED HEART INTERNATIONAL CONSULTANTS|28348886
221|Way Tech Consultants Company|28348886

178|DAVID CHEUNG EMPLOYMENT AGENCY LIMITED|24028320
179|DAVID CHEUNG EMPLOYMENT AGENCY LIMITED|24028320

179|DAVID CHEUNG EMPLOYMENT AGENCY LIMITED|24028320
