govid|english_name|address

35|Extensive Employment Services Centre|Shop 226, 2nd floor, Belvedere Square, Belvedere Garden Phase 2, 620 Castle Peak Road, Tsuen Wan, New Territories
1557|Unlimited Source Co.|Shop 226, 2nd floor, Belvedere Square, Belvedere Garden Phase 2, 620 Castle Peak Road, Tsuen Wan, New Territories
1843|SMILE LADY EMPLOYMENT AGENCY|Shop 226, 2nd floor, Belvedere Square, Belvedere Garden Phase 2, 620 Castle Peak Road, Tsuen Wan, New Territories
2423|ZENTRALINK MAID CONSULTANT|Shop 226, 2nd floor, Belvedere Square, Belvedere Garden Phase 2, 620 Castle Peak Road, Tsuen Wan, New Territories
131|Elegant Employment Agency|Shop 226, 2nd floor, Belvedere Square, Belvedere Garden Phase 2, 620 Castle Peak Road, Tsuen Wan, New Territories

46|Certain Link Personnel Consultants|Room B, 17th floor, Unionway Commercial Centre, 283 Queen's Road Central, Sheung Wan, Hong Kong
451|Ming Tak Services Company|Room B, 17th floor, Unionway Commercial Centre, 283 Queen's Road Central, Sheung Wan, Hong Kong

82|Luckyflex International Limited|Room 1603, 16th floor, Chow Sang Sang Building, 229 Nathan Road, Tsim Sha Tsui, Kowloon
574|Goal Miles Overseas Employment Company|Room 1603, 16th floor, Chow Sang Sang Building, 229 Nathan Road, Tsim Sha Tsui, Kowloon

85|HK-Philippines Employment Agency|Room 1502, 15th floor, Cheong K. Building, 84-86 Des Voeux Road Central, Central, Hong Kong
789|Tailormaid Consultants Company Limited|Room 1502, 15th floor, Cheong K. Building, 84-86 Des Voeux Road Central, Central, Hong Kong
1439|TOP RESOURCES CONSULTANCY COMPANY|Room 1502, 15th floor, Cheong K. Building, 84-86 Des Voeux Road Central, Central, Hong Kong
266|Caring Employment Centre|Room 1502, 15th floor, Cheong K. Building, 84-86 Des Voeux Road Central, Central, Hong Kong

155|Aura Employment Agency|Flat B, 14th floor, Wayson Commercial House, 68-70 Lockhart Road, Wan Chai, Hong Kong
135|Sharp Rich Investment Limited|Flat B, 14th floor, Wayson Commercial House, 68-70 Lockhart Road, Wan Chai, Hong Kong

167|ASIA-ONE EMPLOYMENT AGENCY|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories
731|Care Ford Employment Agency|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories
816|Precious Legend Employment Centre|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories
1058|FURTHER CREATION EMPLOYMENT CENTRE|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories
41|Superiority International Limited|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories
255|Full Win Employment Agency|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories
866|TSUEN SHING EMPLOYMENT AGENCY|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories
713|SAINT HAPPY MAIDS AGENCY|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories
1984|SUNNY EMPLOYMENT SERVICE LIMITED|Room 1021, 10th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories

232|Josie James Integrated Personnel Consultancy|Shop 255, 2nd floor, World-Wide Plaza, 19 Des Voeux Road Central, Central, Hong Kong
1854|NF Employment And Trading Co.|Shop 255, 2nd floor, World-Wide Plaza, 19 Des Voeux Road Central, Central, Hong Kong
212|Phil-Star Employment and General Services|Shop 255, 2nd floor, World-Wide Plaza, 19 Des Voeux Road Central, Central, Hong Kong

233|Sincerity Employment Services Company|Room 02B, 5th floor, Causeway Bay Commercial Building, 3 Sugar Street, Causeway Bay, Hong Kong
1331|AMARA EMPLOYMENT AGENCY|Room 02B, 5th floor, Causeway Bay Commercial Building, 3 Sugar Street, Causeway Bay, Hong Kong
1192|Job Leader Profession Consultant|Room 02B, 5th floor, Causeway Bay Commercial Building, 3 Sugar Street, Causeway Bay, Hong Kong

301|Bestwell Employment Agency (HK) Limited|Room 1001, 10th floor, Kwong Wah Plaza, 11 Tai Tong Road, Yuen Long, New Territories
1621|MANDA EMPLOYMENT LIMITED|Room 1001, 10th floor, Kwong Wah Plaza, 11 Tai Tong Road, Yuen Long, New Territories

330|Best Choice Employment Center Company Limited|Office 2, 7th floor, United Success Commercial Centre, 508 Jaffe Road, Causeway Bay, Hong Kong
1273|FESDI EMPLOYMENT CENTRE|Office 2, 7th floor, United Success Commercial Centre, 508 Jaffe Road, Causeway Bay, Hong Kong

386|Jedegal Consultants Co.|Shop 8, 1st floor, Cheong On Commercial Plaza, Tsuen Cheong Centre, 114-128 Castle Peak Road, Tsuen Wan, New Territories
